srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
Haryana,2012,6799242,233002,0.66,1.12,20,14,2012,"Calendar Year (Jan - Dec), 2012"
Gujarat,2012,24379023,174150,2.35,0.84,9,15,2012,"Calendar Year (Jan - Dec), 2012"
Goa,2012,2337499,450530,0.23,2.17,22,11,2012,"Calendar Year (Jan - Dec), 2012"
Delhi,2012,18495139,2345980,1.78,11.32,14,3,2012,"Calendar Year (Jan - Dec), 2012"
Daman & Diu,2012,803963,4607,0.08,0.02,25,29,2012,"Calendar Year (Jan - Dec), 2012"
Dadra & Nagar Haveli,2012,469213,1234,0.05,0.01,28,32,2012,"Calendar Year (Jan - Dec), 2012"
Chhattisgarh,2012,15036530,4172,1.45,0.02,16,30,2012,"Calendar Year (Jan - Dec), 2012"
Bihar,2012,21447099,1096933,2.07,5.29,11,7,2012,"Calendar Year (Jan - Dec), 2012"
Assam,2012,4511407,17543,0.44,0.08,21,24,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2012,317243,5135,0.03,0.02,30,28,2012,"Calendar Year (Jan - Dec), 2012"
Andhra Pradesh,2012,206817895,292845,19.96,1.41,1,12,2012,"Calendar Year (Jan - Dec), 2012"
A&N Island,2012,238699,17538,0.02,0.08,31,25,2012,"Calendar Year (Jan - Dec), 2012"
Arunachal Pradesh,2013,125461,10846,0.01,0.05,32,27,2013,"Calendar Year (Jan - Dec), 2013"
West Bengal,2013,25547300,1245230,2.23,6.24,9,6,2013,"Calendar Year (Jan - Dec), 2013"
Uttarakhand,2013,19941128,97683,1.74,0.49,15,17,2013,"Calendar Year (Jan - Dec), 2013"
Uttar Pradesh,2013,226531091,2054420,19.75,10.3,2,4,2013,"Calendar Year (Jan - Dec), 2013"
Tripura,2013,359586,11853,0.03,0.06,29,26,2013,"Calendar Year (Jan - Dec), 2013"
Tamil Nadu,2013,244232487,3990490,21.34,20,1,2,2013,"Calendar Year (Jan - Dec), 2013"
Sikkim,2013,576749,31698,0.05,0.16,27,23,2013,"Calendar Year (Jan - Dec), 2013"
Rajasthan,2013,30298150,1437162,2.65,7.2,7,5,2013,"Calendar Year (Jan - Dec), 2013"
Punjab,2013,21340888,204074,1.86,1.02,12,15,2013,"Calendar Year (Jan - Dec), 2013"
Puducherry,2013,1000277,42624,0.09,0.21,23,21,2013,"Calendar Year (Jan - Dec), 2013"
Odisha,2013,9800135,66675,0.86,0.33,19,18,2013,"Calendar Year (Jan - Dec), 2013"
Nagaland,2013,35638,3304,0,0.02,34,31,2013,"Calendar Year (Jan - Dec), 2013"
Mizoram,2013,63377,800,0.01,0,33,34,2013,"Calendar Year (Jan - Dec), 2013"
Meghalaya,2013,691269,6713,0.06,0.03,26,28,2013,"Calendar Year (Jan - Dec), 2013"
Manipur,2013,140673,1908,0.01,0.01,31,32,2013,"Calendar Year (Jan - Dec), 2013"
Maharashtra,2013,82700556,4156343,7.22,20.84,5,1,2013,"Calendar Year (Jan - Dec), 2013"
Madhya Pradesh,2013,63110709,280333,5.51,1.41,6,12,2013,"Calendar Year (Jan - Dec), 2013"
A&N Island,2013,243703,14742,0.02,0.07,30,25,2013,"Calendar Year (Jan - Dec), 2013"
Lakshadweep,2013,4784,371,0,0,35,35,2013,"Calendar Year (Jan - Dec), 2013"
Kerala,2013,10857811,858143,0.95,4.3,18,7,2013,"Calendar Year (Jan - Dec), 2013"
Karnataka,2013,98010140,636378,8.56,3.19,4,9,2013,"Calendar Year (Jan - Dec), 2013"
Jharkhand,2013,20511160,45995,1.79,0.23,13,20,2013,"Calendar Year (Jan - Dec), 2013"
Jammu & Kashmir,2013,13642402,60845,1.19,0.3,17,19,2013,"Calendar Year (Jan - Dec), 2013"
Himachal Pradesh,2013,14715586,414249,1.28,2.08,16,11,2013,"Calendar Year (Jan - Dec), 2013"
Haryana,2013,7128027,228200,0.62,1.14,20,13,2013,"Calendar Year (Jan - Dec), 2013"
Gujarat,2013,27412517,198773,2.39,1,8,16,2013,"Calendar Year (Jan - Dec), 2013"
Goa,2013,2629151,492322,0.23,2.47,22,10,2013,"Calendar Year (Jan - Dec), 2013"
Delhi,2013,20215187,2301395,1.77,11.5,14,3,2013,"Calendar Year (Jan - Dec), 2013"
Daman & Diu,2013,819947,4814,0.07,0.02,25,29,2013,"Calendar Year (Jan - Dec), 2013"
Dadra & Nagar Haveli,2013,481618,1582,0.04,0.01,28,33,2013,"Calendar Year (Jan - Dec), 2013"
Andhra Pradesh,2013,152102150,223518,13.28,1.12,3,14,2013,"Calendar Year (Jan - Dec), 2013"
