srcStateName,srcYear,Number of Domestic Tourist Visits,Number of Foreign Tourist Visits,Percentage share of Domestic Tourist Visits ( % ),Percentage share of Foreign Tourist Visits ( % ),Rank of different States or UTs in Domestic Tourist Visits,Rank of different States or UTs in Foreign Tourist Visits,YearCode,Year
West Bengal,2018,85657365,1617105,4.62,5.6,7,6,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2019,4549017,48046,0.2,0.15,23,24,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2018,35609650,151320,1.92,0.52,12,18,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018,285079848,3780752,15.37,13.09,2,3,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,414388,102861,0.02,0.36,32,22,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018,92878329,318154,5.01,1.1,6,15,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,385909376,6074345,20.8,21.04,1,1,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018,1426127,71172,0.08,0.25,26,24,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,50235643,1754348,2.71,6.08,10,5,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,44595061,1200969,2.4,4.16,11,7,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018,1616660,141133,0.09,0.49,24,19,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,15208540,110818,0.02,0.38,20,21,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,101588,5010,0.01,0.02,34,33,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,76551,967,0,0,35,36,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018,176109,6391,0.01,0.02,33,31,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,119191539,5078514,6.43,17.59,5,2,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,83969799,375476,4.53,1.3,8,13,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018,10435,1313,0,0,36,35,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018,15604661,1096407,0.84,3.8,19,8,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018,214306456,543716,11.55,1.88,3,11,2018,"Calendar Year (Jan - Dec), 2018"
Jammu & Kashmir,2018,17076315,139520,0.92,0.48,17,20,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018,35408822,175801,1.91,0.61,13,17,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018,16093935,356568,0.87,1.23,18,14,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018,4888952,73977,0.26,0.26,23,23,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018,54369873,513113,2.93,1.78,9,12,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018,7081559,933841,0.38,3.23,21,10,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018,29114423,2740502,1.57,9.49,15,4,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,2018,898824,5694,0.05,0.02,28,32,2018,"Calendar Year (Jan - Dec), 2018"
Dadra & Nagar Haveli,2018,609435,1608,0.03,0.01,29,34,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018,19329501,14399,1.04,0.05,16,29,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018,1538796,39681,0.08,0.14,25,25,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018,33621613,1087971,1.81,3.77,14,9,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018,5856282,36846,0.32,0.13,22,26,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018,512436,7653,0.03,0.03,30,30,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018,194767874,281083,10.5,0.97,4,16,2018,"Calendar Year (Jan - Dec), 2018"
A&N Island,2018,498279,15242,0.03,0.05,31,28,2018,"Calendar Year (Jan - Dec), 2018"
A&N Island,2019,505398,16206,0.02,0.05,31,29,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,2019,92366025,1656145,3.98,5.27,6,5,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019,37585920,152273,1.62,0.48,12,19,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019,535855162,4745181,23.08,15.11,1,3,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019,437201,154405,0.02,0.49,32,18,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019,83035894,323326,3.58,1.03,8,15,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019,494865257,6866327,21.31,21.86,2,1,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019,1421823,133388,0.06,0.42,26,21,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019,52220431,1605560,2.25,5.11,10,6,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019,47385387,1101343,2.04,3.51,11,8,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019,1713248,149919,0.07,0.48,24,20,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019,15307637,115128,0.66,0.37,20,22,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,2019,125949,5577,0.01,0.02,36,34,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019,163762,2249,0.01,0.01,35,35,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019,1245633,25813,0.05,0.08,27,28,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,2019,167560,13608,0.01,0.04,34,30,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019,149294703,5528704,6.43,17.6,5,2,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019,88707139,327958,3.82,1.04,7,14,2019,"Calendar Year (Jan - Dec), 2019"
Leh Ladakh,2019,241285,38652,0.01,0.12,33,26,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019,6985,820,0,0,37,37,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019,18384233,1189771,0.79,3.79,16,7,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019,227934714,608754,9.82,1.94,4,11,2019,"Calendar Year (Jan - Dec), 2019"
Jammu & Kashmir,2019,16163330,57920,0.7,0.18,19,23,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019,35580768,176043,1.53,0.56,14,17,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019,16829231,382876,0.72,1.22,18,13,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019,58864661,595607,2.54,1.9,9,12,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019,7127287,937113,0.31,2.98,21,10,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,2019,36467598,2983436,1.57,9.5,13,4,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,2019,897804,5703,0.04,0.02,28,33,2019,"Calendar Year (Jan - Dec), 2019"
Dadra & Nagar Haveli,2019,618330,1666,0.03,0.01,29,36,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019,17304506,6817,0.75,0.02,17,32,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019,1563795,44132,0.07,0.14,25,25,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019,33990038,1093141,1.46,3.48,15,9,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019,5447805,26878,0.23,0.09,22,27,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019,555639,7825,0.02,0.02,30,31,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019,237051508,280356,10.21,0.89,3,16,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2020,2114731,17474,0.35,0.24,22,21,2020,"Calendar Year (Jan - Dec), 2020"
West Bengal,2020,28841732,463285,4.73,6.46,7,5,2020,"Calendar Year (Jan - Dec), 2020"
Uttarakhand,2020,7005264,41339,1.15,0.58,13,18,2020,"Calendar Year (Jan - Dec), 2020"
Uttar Pradesh,2020,86122293,890932,14.11,12.42,2,3,2020,"Calendar Year (Jan - Dec), 2020"
Tripura,2020,127815,31877,0.02,0.44,29,19,2020,"Calendar Year (Jan - Dec), 2020"
Telangana,2020,39997001,46694,6.55,0.65,5,16,2020,"Calendar Year (Jan - Dec), 2020"
Tamil Nadu,2020,140651241,1228323,23.05,17.13,1,2,2020,"Calendar Year (Jan - Dec), 2020"
Sikkim,2020,316408,19935,0.05,0.28,26,20,2020,"Calendar Year (Jan - Dec), 2020"
Rajasthan,2020,15117239,446457,2.48,6.23,11,6,2020,"Calendar Year (Jan - Dec), 2020"
Punjab,2020,16692197,359114,2.74,5.01,10,7,2020,"Calendar Year (Jan - Dec), 2020"
Puducherry,2020,1114942,92080,0.18,1.28,24,14,2020,"Calendar Year (Jan - Dec), 2020"
Odisha,2020,4622273,10206,0.76,0.14,16,23,2020,"Calendar Year (Jan - Dec), 2020"
Nagaland,2020,10979,518,0,0.01,35,33,2020,"Calendar Year (Jan - Dec), 2020"
Mizoram,2020,30890,265,0.01,0,33,36,2020,"Calendar Year (Jan - Dec), 2020"
Meghalaya,2020,24734,2311,0,0.03,34,29,2020,"Calendar Year (Jan - Dec), 2020"
Manipur,2020,49669,3139,0.01,0.04,31,27,2020,"Calendar Year (Jan - Dec), 2020"
Maharashtra,2020,39234591,1262409,6.43,17.6,6,1,2020,"Calendar Year (Jan - Dec), 2020"
Madhya Pradesh,2020,23519632,99819,3.85,1.39,8,13,2020,"Calendar Year (Jan - Dec), 2020"
Leh Ladakh,2020,6743,1126,0,0.02,36,31,2020,"Calendar Year (Jan - Dec), 2020"
Lakshadweep,2020,3462,413,0,0.01,37,35,2020,"Calendar Year (Jan - Dec), 2020"
Kerala,2020,4988972,340755,0.82,4.75,15,8,2020,"Calendar Year (Jan - Dec), 2020"
Karnataka,2020,77453339,165325,12.69,2.31,3,12,2020,"Calendar Year (Jan - Dec), 2020"
Jammu & Kashmir,2020,2519524,5317,0.41,0.07,21,26,2020,"Calendar Year (Jan - Dec), 2020"
Jharkhand,2020,2574704,490,0.42,0.01,20,34,2020,"Calendar Year (Jan - Dec), 2020"
Himachal Pradesh,2020,3170714,42665,0.52,0.59,18,17,2020,"Calendar Year (Jan - Dec), 2020"
Gujarat,2020,19464517,210047,3.19,2.93,9,11,2020,"Calendar Year (Jan - Dec), 2020"
Goa,2020,3258715,302751,0.53,4.22,17,10,2020,"Calendar Year (Jan - Dec), 2020"
Delhi,2020,9583671,681230,1.57,9.5,12,4,2020,"Calendar Year (Jan - Dec), 2020"
Daman & Diu,2020,297436,1382,0.05,0.02,27,30,2020,"Calendar Year (Jan - Dec), 2020"
Dadra & Nagar Haveli,2020,104959,222,0.02,0,30,37,2020,"Calendar Year (Jan - Dec), 2020"
Chhattisgarh,2020,2810227,2322,0.46,0.03,19,28,2020,"Calendar Year (Jan - Dec), 2020"
Chandigarh,2020,417953,12218,0.07,0.17,25,22,2020,"Calendar Year (Jan - Dec), 2020"
Bihar,2020,5638024,308080,0.92,4.3,14,9,2020,"Calendar Year (Jan - Dec), 2020"
Assam,2020,1266898,7285,0.21,0.1,23,24,2020,"Calendar Year (Jan - Dec), 2020"
Arunachal Pradesh,2020,42871,961,0.01,0.01,32,32,2020,"Calendar Year (Jan - Dec), 2020"
Andhra Pradesh,2020,70828590,67591,11.61,0.94,4,15,2020,"Calendar Year (Jan - Dec), 2020"
A&N Island,2020,191207,5412,0.03,0.08,28,25,2020,"Calendar Year (Jan - Dec), 2020"
Arunachal Pradesh,2021,102915,182,0.02,0.02,33,32,2021,"Calendar Year (Jan - Dec), 2021"
Nagaland,2021,23968,325,0,0.03,36,29,2021,"Calendar Year (Jan - Dec), 2021"
Mizoram,2021,87232,234,0.01,0.02,34,31,2021,"Calendar Year (Jan - Dec), 2021"
Meghalaya,2021,154409,411,0.02,0.04,31,28,2021,"Calendar Year (Jan - Dec), 2021"
A&N Island,2021,126238,1687,0.02,0.16,32,21,2021,"Calendar Year (Jan - Dec), 2021"
Manipur,2021,49371,648,0.01,0.06,35,26,2021,"Calendar Year (Jan - Dec), 2021"
Maharashtra,2021,43569238,185643,6.43,17.6,5,2,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,2021,25554067,41601,3.77,3.94,8,8,2021,"Calendar Year (Jan - Dec), 2021"
Leh Ladakh,2021,303023,1054,0.04,0.1,27,24,2021,"Calendar Year (Jan - Dec), 2021"
Lakshadweep,2021,13500,4,0,0,37,37,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,2021,7537617,60487,1.11,5.74,15,5,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,2021,81333659,72487,12,6.87,4,4,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,2021,3383642,1637,0.5,0.16,19,23,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,2021,11314920,1650,1.67,0.16,13,22,2021,"Calendar Year (Jan - Dec), 2021"
Andhra Pradesh,2021,93277569,27551,13.77,2.61,3,11,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,2021,5632270,4932,0.83,0.47,16,18,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,2021,2025450,4578,0.3,0.43,22,19,2021,"Calendar Year (Jan - Dec), 2021"
Gujarat,2021,24525210,11319,3.62,1.07,9,14,2021,"Calendar Year (Jan - Dec), 2021"
Goa,2021,3308089,22128,0.49,2.1,20,12,2021,"Calendar Year (Jan - Dec), 2021"
Delhi,2021,10642477,100178,1.57,9.5,14,3,2021,"Calendar Year (Jan - Dec), 2021"
Daman & Diu,2021,463420,105,0.07,0.01,26,33,2021,"Calendar Year (Jan - Dec), 2021"
Dadra & Nagar Haveli,2021,197802,80,0.03,0.01,29,34,2021,"Calendar Year (Jan - Dec), 2021"
Chhattisgarh,2021,4747417,8,0.7,0,17,35,2021,"Calendar Year (Jan - Dec), 2021"
Chandigarh,2021,228809,5451,0.03,0.52,28,17,2021,"Calendar Year (Jan - Dec), 2021"
Bihar,2021,2501193,1046,0.37,0.1,21,25,2021,"Calendar Year (Jan - Dec), 2021"
Assam,2021,1409161,536,0.21,0.05,23,27,2021,"Calendar Year (Jan - Dec), 2021"
