srcStateName,srcYear,From Month,To Month,Age group of visitors,Gender,Type of visitors includes domestic or foreign,Number of overnight and day visitors ,YearCode,Year
Jammu & Kashmir,2014-15,May-2014,Jun-2015,15-24,Male,Domestic Day Visitors,2452,2014,"Calendar Year (Jan - Dec), 2014"
Jammu & Kashmir,2014-15,May-2014,Jun-2015,15-24,Female,Domestic Day Visitors,286,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Male,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Male,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Overnight Visitors,28,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Overnight Visitors,3,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Male,Domestic Day Visitors,329,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,> 60,Female,Domestic Day Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Male,Foreign Same Day Visitors,30,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Female,Foreign Same Day Visitors,10,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Male,Foreign Overnight Visitors,8,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Overnight Visitors,385,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Overnight Visitors,168,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Male,Domestic Day Visitors,3067,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,45-60,Female,Domestic Day Visitors,599,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Male,Foreign Same Day Visitors,25,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Male,Foreign Overnight Visitors,12,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Female,Foreign Overnight Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Overnight Visitors,412,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Overnight Visitors,96,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Male,Domestic Day Visitors,2349,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,35-44,Female,Domestic Day Visitors,410,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Male,Foreign Same Day Visitors,20,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Female,Foreign Same Day Visitors,10,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Male,Foreign Overnight Visitors,4,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Female,Foreign Overnight Visitors,8,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Overnight Visitors,497,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Overnight Visitors,93,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Male,Domestic Day Visitors,3947,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,25-34,Female,Domestic Day Visitors,485,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Male,Foreign Same Day Visitors,25,2014,"Calendar Year (Jan - Dec), 2014"
Manipur,2014-15,Jun-2014,May-2015,15-24,Female,Foreign Same Day Visitors,0,2014,"Calendar Year (Jan - Dec), 2014"
